event_type, symbol, bid_exchange_id, bid_price, bid_size, ask_exchange_id, ask_price, ask_size, condition, indicators, timestamp, sequence, tape
Q, GOOG, 12, 91.75, 11, 12, 91.76, 17, nothing, Any[602], 2023-02-22T20:57:04.242, 85074112, 3
Q, GOOG, 12, 91.75, 11, 12, 91.76, 18, nothing, Any[602], 2023-02-22T20:57:04.264, 85074173, 3
Q, GOOG, 12, 91.75, 11, 12, 91.76, 19, nothing, Any[602], 2023-02-22T20:57:04.264, 85074174, 3
Q, GOOG, 12, 91.75, 11, 12, 91.76, 20, nothing, Any[602], 2023-02-22T20:57:04.264, 85074176, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 20, nothing, Any[602], 2023-02-22T20:57:04.264, 85074178, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 19, nothing, Any[602], 2023-02-22T20:57:04.264, 85074179, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 20, nothing, Any[602], 2023-02-22T20:57:04.264, 85074187, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 21, nothing, Any[602], 2023-02-22T20:57:04.264, 85074188, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 22, nothing, Any[602], 2023-02-22T20:57:04.264, 85074190, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 21, nothing, Any[602], 2023-02-22T20:57:04.264, 85074200, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 20, nothing, Any[602], 2023-02-22T20:57:04.267, 85074216, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 21, nothing, Any[602], 2023-02-22T20:57:04.272, 85074256, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 20, nothing, Any[602], 2023-02-22T20:57:04.335, 85074553, 3
Q, GOOG, 12, 91.75, 11, 12, 91.76, 20, nothing, Any[602], 2023-02-22T20:57:04.335, 85074555, 3
Q, GOOG, 12, 91.75, 10, 12, 91.76, 20, nothing, Any[602], 2023-02-22T20:57:04.348, 85074600, 3
Q, GOOG, 12, 91.75, 11, 12, 91.76, 20, nothing, Any[602], 2023-02-22T20:57:04.360, 85074660, 3
Q, GOOG, 12, 91.75, 11, 12, 91.76, 19, nothing, Any[602], 2023-02-22T20:57:04.370, 85074706, 3
Q, GOOG, 12, 91.75, 12, 12, 91.76, 19, nothing, Any[602], 2023-02-22T20:57:04.378, 85074744, 3
Q, GOOG, 12, 91.75, 13, 12, 91.76, 19, nothing, Any[602], 2023-02-22T20:57:04.378, 85074745, 3
Q, GOOG, 12, 91.75, 12, 12, 91.76, 19, nothing, Any[602], 2023-02-22T20:57:04.378, 85074749, 3
Q, GOOG, 12, 91.75, 11, 12, 91.76, 19, nothing, Any[602], 2023-02-22T20:57:04.385, 85074774, 3
Q, GOOG, 12, 91.75, 12, 12, 91.76, 19, nothing, Any[602], 2023-02-22T20:57:04.390, 85074806, 3
